Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg),hp(km)
0.00000000,7891.037036,0.1618906, 70.4276,207.3109,142.3670,230.0013,235.417410
7.42102062,7886.569749,0.1614761, 70.3831,194.8357,134.3024,238.6298,234.942117
14.83649061,7882.663766,0.1611151, 70.3407,182.3464,126.2336,249.7001,234.512771
22.24666961,7879.287927,0.1608404, 70.2950,169.8446,118.1748,262.3998,233.845120
31.17984386,7874.226691,0.1604916, 70.2439,154.7451,108.4688,280.0510,232.344735
35.36231089,7871.996214,0.1604334, 70.2201,147.6641,103.9555,289.9741,230.930369
39.22197539,7869.781408,0.1603831, 70.2015,141.1279, 99.8177,299.8758,229.466616
46.13449446,7862.801142,0.1599345, 70.1665,129.4040, 92.4996,318.8770,227.133217
52.24030995,7853.985467,0.1590275, 70.1395,119.0316, 85.9881,336.2086,226.850548
58.66449101,7843.958831,0.1578129, 70.1160,108.1000, 78.8700,355.9475,227.946069
66.20902246,7840.061270,0.1575728, 70.1067, 95.2407, 70.2407, 20.6054,226.545580
77.51756295,7846.736730,0.1584787, 70.1222, 75.9435, 58.0356, 60.0754,225.061358
82.00554290,7847.346315,0.1581761, 70.1360, 68.2770, 53.3234, 78.1254,227.948590
87.05160782,7846.286843,0.1575833, 70.1559, 59.6531, 47.9225, 99.5380,231.707952
88.97319245,7845.185780,0.1573146, 70.1623, 56.3668, 45.8341,108.2232,232.888319
93.05509548,7842.091564,0.1567802, 70.1794, 49.3810, 41.3342,127.8953,234.471682
96.97485552,7838.126707,0.1563923, 70.1963, 42.6656, 36.9643,147.9935,234.168974
98.65401398,7836.265751,0.1562439, 70.2049, 39.7886, 35.1003,156.5007,233.762028
106.64476465,7824.753429,0.1559136, 70.2394, 26.0662, 26.2873,203.5019,226.632800
110.63632206,7817.301800,0.1557200, 70.2577, 19.1940, 22.0351,231.0418,221.856942
121.08189596,7807.151328,0.1532432, 70.3235,  1.1362, 10.3957,315.5506,232.623457
135.48807394,7791.506028,0.1527768, 70.3986,336.1493,353.8470, 90.7697,223.009730
151.29741223,nan,nan,     nan,     nan,     nan,305.8867,nan
154.71015653,nan,nan,     nan,     nan,     nan,120.3638,nan
156.69391480,nan,nan,     nan,     nan,     nan,208.2383,nan
161.21592065,nan,nan,     nan,     nan,     nan, 65.8190,nan
167.63941697,nan,nan,     nan,     nan,     nan, 18.2415,nan
175.64509141,nan,nan,     nan,     nan,     nan, 86.4758,nan
184.35947279,nan,nan,     nan,     nan,     nan,186.8073,nan
192.35702621,nan,nan,     nan,     nan,     nan,259.7858,nan
199.87643358,nan,nan,     nan,     nan,     nan,356.3988,nan
206.99733573,nan,nan,     nan,     nan,     nan, 87.8494,nan
218.14886758,nan,nan,     nan,     nan,     nan, 86.3843,nan
232.13925306,nan,nan,     nan,     nan,     nan,345.4260,nan
239.96068360,nan,nan,     nan,     nan,     nan,204.8696,nan
246.27897965,nan,nan,     nan,     nan,     nan,339.5098,nan
258.67052176,nan,nan,     nan,     nan,     nan,244.6878,nan
269.78953476,nan,nan,     nan,     nan,     nan, 97.3543,nan
274.75266051,nan,nan,     nan,     nan,     nan,168.9634,nan
280.41955886,nan,nan,     nan,     nan,     nan,291.8064,nan
285.76629941,nan,nan,     nan,     nan,     nan, 39.2139,nan
289.69486278,nan,nan,     nan,     nan,     nan, 12.5951,nan
294.64155010,nan,nan,     nan,     nan,     nan, 90.9708,nan
298.32900413,nan,nan,     nan,     nan,     nan, 48.1431,nan
308.35615488,nan,nan,     nan,     nan,     nan,189.0580,nan
315.55079693,nan,nan,     nan,     nan,     nan, 73.6889,nan
322.11220392,nan,nan,     nan,     nan,     nan,247.7543,nan
333.58067562,nan,nan,     nan,     nan,     nan, 60.2278,nan
336.93265160,nan,nan,     nan,     nan,     nan,333.8552,nan
339.97180138,nan,nan,     nan,     nan,     nan,201.4111,nan
345.03514640,nan,nan,     nan,     nan,     nan,217.1741,nan
352.43157079,nan,nan,     nan,     nan,     nan, 30.9931,nan
361.06800024,nan,nan,     nan,     nan,     nan,259.7645,nan
368.68811680,nan,nan,     nan,     nan,     nan,354.7618,nan
380.18756217,nan,nan,     nan,     nan,     nan, 38.5546,nan
384.69093418,nan,nan,     nan,     nan,     nan,245.6846,nan
