Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg),hp(km)
0.00000000,26698.354185,0.7411754, 65.4699,273.5819,323.7043,  3.8382,532.055279
3.50261265,26702.780883,0.7410419, 65.4536,273.1111,323.6389,  3.3290,536.767137
12.00851767,26695.728055,0.7410230, 65.5078,271.8982,323.4794,  2.0885,535.445637
22.01576790,26683.901785,0.7406696, 65.5127,270.5265,323.2950,  1.5525,541.812710
27.01886478,26673.565001,0.7404783, 65.5564,269.8107,323.2453,  1.2087,544.234012
33.02226353,26665.728589,0.7400906, 65.5284,269.0141,323.1365,  0.9848,552.539279
54.03162796,nan,nan,     nan,     nan,     nan,228.1690,nan
61.53459134,nan,nan,     nan,     nan,     nan,229.4238,nan
70.03809001,nan,nan,     nan,     nan,     nan,230.9135,nan
77.54112066,nan,nan,     nan,     nan,     nan,231.6468,nan
81.54300137,nan,nan,     nan,     nan,     nan,232.1396,nan
89.54680712,nan,nan,     nan,     nan,     nan,233.8413,nan
97.05118004,nan,nan,     nan,     nan,     nan,234.7637,nan
102.05440330,nan,nan,     nan,     nan,     nan,236.2649,nan
107.05807833,nan,nan,     nan,     nan,     nan,235.8352,nan
108.05890210,nan,nan,     nan,     nan,     nan,236.2649,nan
111.06146872,nan,nan,     nan,     nan,     nan,237.1701,nan
119.56905147,nan,nan,     nan,     nan,     nan,238.7057,nan
125.07447415,nan,nan,     nan,     nan,     nan,239.3302,nan
139.58909991,nan,nan,     nan,     nan,     nan,241.8226,nan
153.60187744,nan,nan,     nan,     nan,     nan,243.4956,nan
166.61124246,nan,nan,     nan,     nan,     nan,246.3203,nan
173.61506991,nan,nan,     nan,     nan,     nan,246.4291,nan
181.61863390,nan,nan,     nan,     nan,     nan,248.0392,nan
195.62370837,nan,nan,     nan,     nan,     nan,250.1075,nan
204.62749363,nan,nan,     nan,     nan,     nan,251.6144,nan
210.12823568,nan,nan,     nan,     nan,     nan,252.5827,nan
221.12948276,nan,nan,     nan,     nan,     nan,254.4677,nan
224.12987692,nan,nan,     nan,     nan,     nan,254.7771,nan
228.13055147,nan,nan,     nan,     nan,     nan,255.6366,nan
230.63119283,nan,nan,     nan,     nan,     nan,255.7512,nan
269.14997093,nan,nan,     nan,     nan,     nan,264.1393,nan
273.65296658,nan,nan,     nan,     nan,     nan,265.1534,nan
285.15999669,nan,nan,     nan,     nan,     nan,268.3161,nan
364.17651425,nan,nan,     nan,     nan,     nan,284.1871,nan
370.17752437,nan,nan,     nan,     nan,     nan,285.1955,nan
378.67933780,nan,nan,     nan,     nan,     nan,286.7940,nan
391.68412969,nan,nan,     nan,     nan,     nan,289.6932,nan
397.18691768,nan,nan,     nan,     nan,     nan,291.3891,nan
407.19262951,nan,nan,     nan,     nan,     nan,292.9934,nan
411.19502241,nan,nan,     nan,     nan,     nan,295.8582,nan
415.19748182,nan,nan,     nan,     nan,     nan,296.7119,nan
415.19757288,nan,nan,     nan,     nan,     nan,296.4484,nan
418.19945052,nan,nan,     nan,     nan,     nan,297.2161,nan
420.20074925,nan,nan,     nan,     nan,     nan,297.6401,nan
428.20563469,nan,nan,     nan,     nan,     nan,298.9751,nan
465.71950721,nan,nan,     nan,     nan,     nan,307.5122,nan
470.22005022,nan,nan,     nan,     nan,     nan,308.4690,nan
473.72055100,nan,nan,     nan,     nan,     nan,308.8071,nan
549.23657495,nan,nan,     nan,     nan,     nan,329.1929,nan
