Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg),hp(km)
0.00000000,24934.269580,0.7199608, 27.6002,129.7992,136.6208,310.0056,604.439024
3.17169545,24934.184204,0.7199943, 27.6143,128.7402,138.3370,307.9590,603.579428
4.07766301,24934.056583,0.7200083, 27.6212,128.4338,138.8354,307.1807,603.194953
9.06140533,24934.166898,0.7196750, 27.6607,126.7602,141.5697,303.6138,611.535298
13.13842183,24934.020055,0.7193005, 27.6682,125.4333,143.7343,300.2909,620.831994
14.95186758,24933.725972,0.7192962, 27.6751,124.8359,144.7029,299.9581,620.857739
15.85536357,24933.591586,0.7193065, 27.6809,124.5342,145.1913,297.2278,620.562372
16.76125003,24933.569677,0.7193123, 27.6882,124.2309,145.6832,296.3918,620.411182
19.93158379,24933.601935,0.7191965, 27.7159,123.1725,147.4125,293.2196,623.308508
20.83732798,24933.633764,0.7191109, 27.7226,122.8745,147.9020,292.2618,625.451236
21.74458819,24933.705227,0.7190087, 27.7279,122.5785,148.3887,292.5098,628.020355
23.10167350,24933.827106,0.7188460, 27.7319,122.1375,149.1129,289.8633,632.111394
24.00731913,24933.793160,0.7187421, 27.7333,121.8461,149.5932,288.8329,634.690919
26.72425134,24933.542346,0.7185123, 27.7352,120.9732,151.0199,285.7631,640.350940
28.98836679,24933.478460,0.7184555, 27.7382,120.2394,152.2140,283.2093,641.749429
30.79944577,24933.281870,0.7184612, 27.7471,119.6476,153.1769,280.9895,641.551679
31.70514284,24933.300700,0.7184600, 27.7534,119.3505,153.6620,280.0003,641.586699
33.06320758,24933.445590,0.7184351, 27.7631,118.9037,154.3928,278.1254,642.248305
33.96881927,24933.500295,0.7183901, 27.7697,118.6075,154.8818,277.0560,643.386554
35.77916443,24933.508256,0.7182127, 27.7806,118.0204,155.8516,274.2230,647.811948
38.94810883,24933.570630,0.7177933, 27.7809,117.0073,157.5183,269.9650,658.285585
40.75872685,24933.279173,0.7176668, 27.7793,116.4281,158.4595,267.3898,661.358430
43.02148510,24933.251070,0.7176560, 27.7856,115.6940,159.6472,263.7579,661.619453
43.02182139,24933.253487,0.7176560, 27.7856,115.6940,159.6472,264.0249,661.619374
44.83224926,24933.208010,0.7176712, 27.7980,115.1041,160.6108,261.2718,661.227337
46.64254288,24933.347447,0.7176126, 27.8120,114.5174,161.5756,258.4005,662.728189
48.90513478,24933.544657,0.7174203, 27.8220,113.7897,162.7775,254.5844,667.578175
49.81016553,24933.442767,0.7173174, 27.8238,113.5014,163.2541,253.0559,670.114404
50.71516069,24933.418876,0.7172087, 27.8239,113.2143,163.7270,251.5036,672.820130
51.62013497,24933.400488,0.7171029, 27.8228,112.9274,164.1983,249.9384,675.452689
52.52506397,24933.323484,0.7170104, 27.8211,112.6396,164.6680,248.3411,677.736884
53.88250123,24933.321333,0.7169099, 27.8171,112.2074,165.3724,245.9813,680.241669
54.78747767,24933.158204,0.7168685, 27.8162,111.9189,165.8414,244.4247,681.227668
56.59732581,24933.116288,0.7168387, 27.8175,111.3404,166.7804,241.2289,681.959413
58.85956855,24933.243254,0.7168671, 27.8253,110.6124,167.9657,237.1637,681.285718
59.76455159,24933.199808,0.7168740, 27.8307,110.3218,168.4428,235.5985,681.101193
61.57417920,24933.360849,0.7168302, 27.8412,109.7432,169.3977,232.1903,682.240252
61.57418672,24933.360862,0.7168302, 27.8412,109.7432,169.3977,232.1963,682.240258
63.83599071,24933.500812,0.7166433, 27.8465,109.0223,170.5906,227.7461,686.938943
67.45508754,24933.073889,0.7162497, 27.8379,107.8749,172.4672,220.8447,696.631819
68.81210706,24933.073881,0.7162073, 27.8351,107.4402,173.1679,218.1593,697.688455
70.62158177,24933.011465,0.7162420, 27.8410,106.8605,174.1059,214.6641,696.805424
71.52626524,24933.122457,0.7162714, 27.8467,106.5710,174.5779,212.8671,696.104547
72.88327260,24933.241884,0.7163017, 27.8564,106.1362,175.2893,210.1483,695.383323
73.78794813,24933.371344,0.7163000, 27.8617,105.8477,175.7663,208.3327,695.461592
74.69256633,24933.323834,0.7162741, 27.8668,105.5606,176.2427,206.4694,696.095851
76.50190059,24933.344683,0.7161505, 27.8720,104.9887,177.1902,202.8221,699.181827
77.40654185,24933.251180,0.7160669, 27.8724,104.7022,177.6621,200.9819,701.240059
78.76348524,24933.233511,0.7159404, 27.8688,104.2712,178.3682,198.2139,704.390574
79.66809937,24933.078107,0.7158632, 27.8664,103.9844,178.8368,196.3615,706.270537
80.57272871,24933.009571,0.7157978, 27.8640,103.6975,179.3028,194.5250,707.880167
81.47737724,24933.007233,0.7157502, 27.8621,103.4104,179.7681,192.7065,709.066599
82.83436216,24932.960810,0.7157231, 27.8612,102.9772,180.4658,189.9917,709.728711
83.73893376,24933.049153,0.7157338, 27.8614,102.6884,180.9331,188.1133,709.488273
84.19141274,24932.991053,0.7157457, 27.8627,102.5443,181.1661,187.3262,709.175533
84.64367947,24933.015887,0.7157605, 27.8640,102.4007,181.4008,186.3705,708.814215
86.45300188,24933.185968,0.7158294, 27.8728,101.8272,182.3373,182.7402,707.142234
87.35765229,24933.209314,0.7158593, 27.8784,101.5406,182.8081,180.9105,706.404146
87.80997719,24933.246504,0.7158711, 27.8808,101.3967,183.0438,179.9943,706.121216
88.71493209,24933.361327,0.7158816, 27.8848,101.1101,183.5179,178.4009,705.892771
89.61964374,24933.308048,0.7158693, 27.8886,100.8248,183.9921,176.6114,706.182499
90.52445810,24933.286664,0.7158300, 27.8910,100.5398,184.4649,174.9027,707.157253
92.33397868,24933.161780,0.7156878, 27.8911, 99.9683,185.4082,171.4059,710.667273
93.69100448,24933.095594,0.7155697, 27.8865, 99.5357,186.1126,168.7064,713.592485
94.59598643,24932.962403,0.7155072, 27.8840, 99.2477,186.5799,167.1495,715.112964
95.50098406,24932.929012,0.7154691, 27.8826, 98.9596,187.0441,165.6092,716.054207
97.76304150,24933.070731,0.7155132, 27.8885, 98.2394,188.2040,161.4141,714.994177
98.66736427,24933.246588,0.7155741, 27.8936, 97.9520,188.6715,159.3335,713.526151
99.57210966,24933.284454,0.7156382, 27.9005, 97.6669,189.1406,157.5815,711.937616
101.38175372,24933.422850,0.7157194, 27.9144, 97.0998,190.0808,154.1811,709.954276
102.73908055,24933.332657,0.7157198, 27.9220, 96.6732,190.7888,151.6980,709.916970
104.54884227,24933.236652,0.7156482, 27.9245, 96.1022,191.7356,148.3852,711.675552
106.35882167,24933.170308,0.7155256, 27.9231, 95.5303,192.6751,145.2560,714.712921
107.71622502,24933.056052,0.7154453, 27.9214, 95.0983,193.3759,142.8567,716.682945
108.62132221,24933.117122,0.7154137, 27.9198, 94.8092,193.8430,141.3919,717.488995
109.52625378,24933.098953,0.7154031, 27.9197, 94.5217,194.3087,139.7969,717.748634
111.33645785,24933.259784,0.7154421, 27.9241, 93.9500,195.2351,136.8762,716.821902
113.59922009,24933.413321,0.7155880, 27.9365, 93.2374,196.3972,133.2192,713.226406
114.50435616,24933.426630,0.7156545, 27.9424, 92.9546,196.8653,131.7735,711.573162
116.31475319,24933.504934,0.7157423, 27.9536, 92.3910,197.8032,128.9649,709.406941
117.21946834,24933.434176,0.7157542, 27.9580, 92.1083,198.2746,127.1720,709.088348
118.57735526,24933.362240,0.7157312, 27.9606, 91.6796,198.9840,125.1329,709.641774
119.48311662,24933.268067,0.7156909, 27.9605, 91.3938,199.4574,124.1754,710.620102
119.93558030,24933.260358,0.7156643, 27.9601, 91.2507,199.6921,123.3667,711.280533
122.65158023,24933.177096,0.7155215, 27.9584, 90.3876,201.0959,119.5066,714.817401
123.55714492,24933.286080,0.7155204, 27.9590, 90.0986,201.5610,118.4152,714.877204
124.46253739,24933.362672,0.7155528, 27.9617, 89.8127,202.0248,117.1868,714.089767
126.27340285,24933.613850,0.7156918, 27.9736, 89.2480,202.9490,114.7799,710.696802
128.53737461,24933.609920,0.7158981, 27.9920, 88.5454,204.1151,112.0487,705.551320
129.44284791,24933.555617,0.7159522, 27.9974, 88.2646,204.5867,110.8566,704.186486
130.34840073,24933.497812,0.7159761, 28.0016, 87.9833,205.0586,109.7238,703.574167
131.25393252,24933.502978,0.7159713, 28.0041, 87.7007,205.5311,108.5733,703.695338
133.51805866,24933.343827,0.7158878, 28.0052, 86.9838,206.7133,105.9502,705.731164
136.23509995,24933.466831,0.7157899, 28.0042, 86.1221,208.1203,102.9094,708.209129
138.49920881,24933.548129,0.7158327, 28.0103, 85.4070,209.2804,100.3200,707.163202
139.40499050,24933.614221,0.7158926, 28.0142, 85.1240,209.7442, 99.3942,705.688246
141.21669044,24933.775182,0.7160485, 28.0253, 84.5642,210.6701, 97.6334,701.847780
142.12247891,24933.757913,0.7161307, 28.0317, 84.2853,211.1356, 96.6950,699.793497
144.84010491,24933.591317,0.7162945, 28.0439, 83.4406,212.5480, 94.0725,695.663068
144.84014165,24933.591188,0.7162945, 28.0439, 83.4406,212.5480, 94.1016,695.663118
146.19898513,24933.572095,0.7162876, 28.0459, 83.0150,213.2601, 92.8061,695.829379
147.55756044,24933.429696,0.7162339, 28.0464, 82.5846,213.9712, 91.3038,697.128323
147.55792904,24933.427344,0.7162338, 28.0464, 82.5846,213.9712, 91.5964,697.128906
148.46404441,24933.423164,0.7161907, 28.0454, 82.2941,214.4449, 90.9222,698.201620
149.37004523,24933.474814,0.7161549, 28.0443, 82.0050,214.9167, 90.1629,699.109226
151.18197963,24933.723526,0.7161383, 28.0466, 81.4325,215.8487, 88.5964,699.595064
153.44714732,24933.804173,0.7162875, 28.0581, 80.7259,217.0045, 86.8374,695.896937
154.35322204,24933.842339,0.7163882, 28.0634, 80.4465,217.4690, 86.1347,693.397479
156.16548906,24933.865729,0.7165758, 28.0742, 79.8911,218.4030, 84.7953,688.725097
157.52473086,24933.674355,0.7166637, 28.0803, 79.4704,219.1112, 83.8088,686.480075
158.43090823,24933.582854,0.7166898, 28.0819, 79.1849,219.5879, 83.1671,685.802574
159.33713062,24933.559398,0.7166907, 28.0817, 78.8982,220.0665, 82.5634,685.775502
159.79021198,24933.546308,0.7166813, 28.0816, 78.7548,220.3045, 82.2378,686.005621
161.14954447,24933.637993,0.7166298, 28.0802, 78.3227,221.0202, 81.3344,687.314802
