Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg),hp(km)
0.00000000,42179.878044,0.0001082,  3.9148, 73.1847,244.4206,115.5021,35797.177177
2.99349720,42178.236053,0.0001690,  3.9227, 73.2615,243.6717,116.2602,35792.972180
6.98457570,42178.764983,0.0002043,  3.9290, 73.2024,273.7870, 86.2420,35792.013674
9.97774740,42179.258063,0.0002063,  3.9387, 73.1320,287.6909, 72.4091,35792.423321
10.97548799,42179.236933,0.0002033,  3.9426, 73.1241,289.9927, 70.1247,35792.525351
10.97548800,42179.236933,0.0002033,  3.9426, 73.1241,289.9927, 70.1247,35792.525351
10.97549769,42179.236981,0.0002033,  3.9426, 73.1241,289.9931, 70.1278,35792.525418
13.96860375,42178.511090,0.0001861,  3.9535, 73.1584,288.8115, 71.2675,35792.525305
14.96623031,42178.095114,0.0001810,  3.9562, 73.1825,285.1701, 74.8558,35792.325556
18.95749758,42176.710875,0.0002131,  3.9616, 73.2349,267.3125, 92.8208,35789.587295
19.95520622,42176.699536,0.0002326,  3.9626, 73.2210,267.2489, 92.9009,35788.753507
21.95053833,42177.237668,0.0002653,  3.9664, 73.1652,273.6441, 86.5414,35787.912872
23.94618807,42178.044189,0.0002722,  3.9733, 73.1091,283.9077, 76.4378,35788.429049
26.93940944,42177.492583,0.0002328,  3.9864, 73.1229,287.1756, 73.2337,35789.540404
28.93499185,42176.052644,0.0002381,  3.9921, 73.1857,278.2376, 82.1971,35787.874496
32.92585224,42175.494310,0.0003239,  3.9956, 73.1995,286.6984, 73.7927,35783.697626
33.92349536,42175.758107,0.0003379,  3.9968, 73.1730,291.1558, 69.3580,35783.371140
34.92112178,42176.019912,0.0003476,  3.9987, 73.1435,295.1734, 65.3627,35783.224511
35.91875031,42176.225835,0.0003535,  4.0011, 73.1159,298.5723, 61.9872,35783.183104
36.91639008,42176.343852,0.0003560,  4.0040, 73.0944,301.3134, 59.2697,35783.193867
39.90944776,42176.049183,0.0003467,  4.0136, 73.0846,305.6813, 54.9766,35783.291276
39.90959598,42176.050479,0.0003467,  4.0136, 73.0846,305.6878, 55.0236,35783.292667
40.90733257,42175.738524,0.0003388,  4.0163, 73.0991,305.7434, 54.9954,35783.313590
44.89819310,42174.059301,0.0003157,  4.0217, 73.1672,297.3365, 63.4735,35782.610445
49.88613506,42174.577975,0.0003927,  4.0266, 73.0519,297.9245, 62.9668,35779.880915
50.88366022,42174.968360,0.0004012,  4.0297, 73.0196,301.5127, 59.3883,35779.912357
