Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg),hp(km)
0.00000000,7891.037036,0.1618906, 70.4276,207.3109,142.3670,230.0013,235.417410
7.42102062,7885.566227,0.1613969, 70.4249,194.9208,134.2609,203.6593,234.725195
14.83649061,7880.774635,0.1609610, 70.4258,182.5160,126.1464,184.3784,234.141983
22.24666961,7876.543076,0.1605737, 70.4254,170.0993,118.0273,169.9331,233.642760
31.17984386,7871.261020,0.1600607, 70.4262,155.1055,108.2225,155.3488,233.246204
35.36231089,7869.321445,0.1598719, 70.4272,148.0762,103.6273,150.4570,233.103376
39.22197539,7867.602653,0.1597037, 70.4282,141.5855, 99.3805,147.2598,232.982075
46.13449446,7864.482602,0.1593907, 70.4276,129.9492, 91.7720,143.3697,232.822606
52.24030995,7862.154165,0.1591592, 70.4281,119.6611, 85.0450,141.2025,232.684913
58.66449101,7859.052407,0.1588250, 70.4270,108.8230, 77.9652,140.6996,232.703350
66.20902246,7855.977076,0.1584898, 70.4265, 96.0811, 69.6429,141.6868,232.749803
77.51756295,7849.990536,0.1577866, 70.4264, 76.9473, 57.1462,148.7749,233.232192
82.00554290,7846.351353,0.1573500, 70.4264, 69.3386, 52.1746,155.4662,233.592987
87.05160782,7842.460800,0.1568906, 70.4280, 60.7728, 46.5729,166.8811,233.917740
88.97319245,7840.944478,0.1567119, 70.4281, 57.5077, 44.4397,172.3095,234.040264
93.05509548,7837.464169,0.1562890, 70.4279, 50.5639, 39.9007,186.1998,234.419557
96.97485552,7833.995068,0.1558773, 70.4296, 43.8877, 35.5299,201.9604,234.718240
98.65401398,7832.562033,0.1557107, 70.4301, 41.0257, 33.6585,208.9082,234.813356
106.64476465,7825.111706,0.1548045, 70.4301, 27.3808, 24.7316,248.5901,235.614000
110.63632206,7821.069406,0.1543245, 70.4309, 20.5505, 20.2611,271.4268,235.951881
121.08189596,7811.722322,0.1531486, 70.4295,  2.6279,  8.5239,336.3732,237.233275
135.48807394,7802.313500,0.1518733, 70.4268,337.8169,352.2563, 65.7841,239.215041
151.29741223,7793.883427,0.1506924, 70.4244,310.4915,334.3003,154.0368,241.269176
154.71015653,7792.399557,0.1504845, 70.4246,304.5807,330.4106,172.2531,241.628846
156.69391480,7791.605571,0.1503733, 70.4254,301.1438,328.1522,182.9555,241.820808
161.21592065,7789.587909,0.1500854, 70.4252,293.3067,323.0000,208.4785,242.349229
