Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg),hp(km)
0.00000000,26698.354185,0.7411754, 65.4699,273.5819,323.7043,  3.8382,532.055279
3.50261265,26698.017450,0.7409978, 65.4545,273.1163,323.6437,353.0169,536.709062
12.00851767,26696.600298,0.7410165, 65.5108,271.9167,323.5002,326.8000,535.842650
22.01576790,26695.372308,0.7407683, 65.5141,270.5609,323.3191,296.7306,542.150889
27.01886478,26695.119421,0.7406696, 65.5551,269.8528,323.2695,281.3937,544.720277
33.02226353,26695.390938,0.7403679, 65.5220,269.0637,323.1566,262.8399,552.844763
54.03162796,26698.963078,0.7397471, 65.5312,266.2058,322.8100,194.2956,570.346781
61.53459134,26698.905814,0.7393431, 65.4832,265.2279,322.6495,169.0392,581.119458
70.03809001,26697.587195,0.7389762, 65.4762,264.0940,322.5044,140.6909,590.570944
77.54112066,26696.025689,0.7387416, 65.4553,263.1045,322.3320,116.2476,596.425176
81.54300137,26695.448344,0.7385422, 65.4663,262.5616,322.2809,103.4785,601.597819
89.54680712,26695.126029,0.7382059, 65.4230,261.5209,322.1040, 78.3209,610.490984
97.05118004,26695.742327,0.7379377, 65.4097,260.5256,321.9746, 55.2016,617.812939
102.05440330,26696.572987,0.7378309, 65.3804,259.8738,321.8516, 39.9486,620.882789
107.05807833,26697.606008,0.7377862, 65.4042,259.1791,321.7644, 24.7731,622.344578
108.05890210,26697.780117,0.7377356, 65.4051,259.0438,321.7518, 21.7552,623.743447
111.06146872,26698.248534,0.7375375, 65.3816,258.6582,321.6983, 12.7490,629.153903
119.56905147,26699.004649,0.7374630, 65.3931,257.5009,321.5175,347.3792,631.342417
125.07447415,26698.701198,0.7372814, 65.3821,256.7747,321.4121,331.2248,636.109754
139.58909991,26696.384521,0.7369483, 65.4156,254.8168,321.1370,289.7105,644.395488
153.60187744,26695.626913,0.7367235, 65.4700,252.9156,320.8910,249.7051,650.197301
166.61124246,26697.497991,0.7363463, 65.5161,251.1508,320.6838,210.3637,660.758176
173.61506991,26698.803818,0.7362499, 65.5620,250.1825,320.5657,187.8135,663.678365
181.61863390,26699.371255,0.7358927, 65.5560,249.1333,320.4266,161.0905,673.364701
195.62370837,26697.483945,0.7351609, 65.5858,247.2806,320.1897,113.7546,692.401539
204.62749363,26696.075689,0.7346637, 65.6169,246.0909,320.0556, 84.3595,705.303716
210.12823568,26695.690963,0.7344060, 65.5930,245.4001,319.9381, 65.5505,712.081481
221.12948276,26696.263265,0.7336286, 65.5727,243.9933,319.7560, 27.6711,732.987034
224.12987692,26696.771618,0.7335438, 65.5674,243.6073,319.6879, 17.3596,735.384311
228.13055147,26697.525218,0.7333395, 65.5776,243.0796,319.6255,  3.5325,741.040180
230.63119283,26697.972602,0.7331530, 65.5662,242.7656,319.5851,354.9686,746.139095
269.14997093,26695.922729,0.7314115, 65.4712,237.8970,318.7731,229.4377,792.082008
273.65296658,26695.786208,0.7310695, 65.4573,237.3350,318.6962,215.7407,801.176262
285.15999669,26696.656984,0.7307192, 65.4664,235.8529,318.4702,180.3578,810.763065
364.17651425,26699.422872,0.7267043, 65.6511,225.7556,317.0375,268.7178,918.702079
370.17752437,26699.358053,0.7262121, 65.6223,225.0422,316.9214,247.4202,931.827196
378.67933780,26698.307749,0.7256473, 65.6414,223.9861,316.7582,217.7752,946.617331
391.68412969,26696.297909,0.7246587, 65.6193,222.4256,316.5029,174.7736,972.458207
397.18691768,26695.937666,0.7242494, 65.5819,221.7920,316.3899,157.3655,983.286788
407.19262951,26696.422290,0.7236439, 65.5757,220.5815,316.1930,126.2744,999.585006
411.19502241,26697.169834,0.7233788, 65.5373,220.1276,316.1009,113.8019,1006.869052
415.19748182,26697.891718,0.7232928, 65.5353,219.6403,316.0081,101.3094,1009.364471
415.19757288,26697.891725,0.7232928, 65.5353,219.6403,316.0081,101.3746,1009.364591
418.19945052,26698.416303,0.7230833, 65.5417,219.2684,315.9569, 91.8989,1015.102047
420.20074925,26698.753875,0.7229171, 65.5343,219.0314,315.9208, 85.5704,1019.633365
428.20563469,26699.496327,0.7226898, 65.4974,218.0919,315.7289, 59.9778,1025.907136
465.71950721,26695.921949,0.7207982, 65.5166,213.5787,314.9654,296.0240,1075.414310
470.22005022,26696.408435,0.7206988, 65.5413,213.0171,314.8740,280.6280,1078.203291
473.72055100,26696.985469,0.7203955, 65.5580,212.5830,314.8229,268.5548,1086.461019
549.23657495,26699.325591,0.7146163, 65.6210,203.7074,313.3727,  8.9668,1241.418598
556.74074320,26699.487043,0.7138327, 65.6217,202.8475,313.2320,344.4798,1262.384139
