Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg),hp(km)
0.00000000,24934.269580,0.7199608, 27.6002,129.7992,136.6208,310.0056,604.439024
3.17169545,24934.267985,0.7199950, 27.6148,128.7424,138.3344,308.2424,603.584471
4.07766301,24934.267630,0.7200084, 27.6216,128.4365,138.8307,307.5485,603.249681
9.06140533,24934.264838,0.7196867, 27.6614,126.7664,141.5600,304.4284,611.271994
13.13842183,24934.263166,0.7193095, 27.6695,125.4421,143.7217,301.4641,620.674746
14.95186758,24934.262590,0.7193003, 27.6759,124.8453,144.6882,301.2955,620.904151
15.85536357,24934.262349,0.7193123, 27.6815,124.5448,145.1748,298.6446,620.605616
16.76125003,24934.262018,0.7193205, 27.6885,124.2423,145.6657,297.8877,620.400607
19.93158379,24934.260674,0.7192075, 27.7165,123.1869,147.3900,295.0011,623.219321
20.83732798,24934.260282,0.7191253, 27.7232,122.8893,147.8791,294.1223,625.268316
21.74458819,24934.259989,0.7190268, 27.7284,122.5934,148.3660,294.4486,627.724167
23.10167350,24934.259609,0.7188654, 27.7334,122.1545,149.0879,291.9219,631.748049
24.00731913,24934.259369,0.7187601, 27.7351,121.8634,149.5660,290.9735,634.372468
26.72425134,24934.258486,0.7185283, 27.7363,120.9922,150.9904,288.1411,640.152972
28.98836679,24934.257658,0.7184667, 27.7400,120.2608,152.1803,285.7907,641.689999
30.79944577,24934.257071,0.7184723, 27.7484,119.6704,153.1414,283.7322,641.549767
31.70514284,24934.256878,0.7184738, 27.7544,119.3739,153.6256,282.8227,641.510860
33.06320758,24934.256539,0.7184500, 27.7646,118.9293,154.3544,281.0697,642.105266
33.96881927,24934.256319,0.7184055, 27.7715,118.6338,154.8409,280.0839,643.215026
35.77916443,24934.255971,0.7182334, 27.7820,118.0480,155.8088,277.4128,647.504310
38.94810883,24934.255249,0.7178142, 27.7834,117.0379,157.4707,273.4388,657.956752
40.75872685,24934.254673,0.7176822, 27.7811,116.4600,158.4099,271.0280,661.249787
43.02148510,24934.254044,0.7176710, 27.7873,115.7291,159.5942,267.6030,661.527269
43.02182139,24934.254044,0.7176710, 27.7873,115.7290,159.5944,267.8700,661.527157
44.83224926,24934.253714,0.7176852, 27.7997,115.1409,160.5537,265.2872,661.174054
46.64254288,24934.253378,0.7176333, 27.8133,114.5553,161.5167,262.5823,662.469012
48.90513478,24934.252885,0.7174434, 27.8243,113.8308,162.7141,258.9775,667.202191
49.81016553,24934.252745,0.7173402, 27.8259,113.5432,163.1890,257.5338,669.774973
50.71516069,24934.252593,0.7172323, 27.8259,113.2564,163.6615,256.0653,672.466726
51.62013497,24934.252403,0.7171278, 27.8247,112.9701,164.1317,254.5841,675.071763
52.52506397,24934.252260,0.7170344, 27.8227,112.6837,164.6002,253.0706,677.399612
53.88250123,24934.251985,0.7169279, 27.8197,112.2535,165.3011,250.8408,680.057115
54.78747767,24934.251786,0.7168836, 27.8184,111.9659,165.7683,249.3710,681.161231
56.59732581,24934.251478,0.7168559, 27.8192,111.3885,166.7053,246.3474,681.850436
58.85956855,24934.250946,0.7168840, 27.8277,110.6643,167.8858,242.5000,681.151029
59.76455159,24934.250779,0.7168905, 27.8328,110.3747,168.3609,241.0225,680.987186
61.57417920,24934.250506,0.7168525, 27.8428,109.7971,169.3138,237.7880,681.934701
61.57418672,24934.250506,0.7168525, 27.8428,109.7971,169.3138,237.7939,681.934709
63.83599071,24934.250110,0.7166677, 27.8490,109.0798,170.5018,233.5616,686.543502
67.45508754,24934.249536,0.7162711, 27.8393,107.9354,172.3736,227.0092,696.432617
68.81210706,24934.249333,0.7162232, 27.8374,107.5034,173.0707,224.4572,697.626276
70.62158177,24934.249047,0.7162589, 27.8428,106.9253,174.0056,221.1397,696.735263
71.52626524,24934.248897,0.7162924, 27.8483,106.6364,174.4763,219.4308,695.900233
72.88327260,24934.248696,0.7163252, 27.8580,106.2042,175.1858,216.8432,695.082258
73.78794813,24934.248569,0.7163226, 27.8640,105.9171,175.6599,215.1160,695.147006
74.69256633,24934.248433,0.7162960, 27.8689,105.6308,176.1340,213.3412,695.812102
76.50190059,24934.248166,0.7161765, 27.8738,105.0596,177.0797,209.8699,698.790630
77.40654185,24934.248033,0.7160940, 27.8737,104.7742,177.5503,208.1174,700.847509
78.76348524,24934.247846,0.7159629, 27.8711,104.3459,178.2531,205.4812,704.115882
79.66809937,24934.247715,0.7158826, 27.8685,104.0600,178.7195,203.7173,706.117943
80.57272871,24934.247577,0.7158167, 27.8658,103.7737,179.1846,201.9695,707.763001
81.47737724,24934.247456,0.7157705, 27.8637,103.4869,179.6488,200.2400,708.914811
82.83436216,24934.247251,0.7157438, 27.8625,103.0564,180.3446,197.6579,709.579726
83.73893376,24934.247098,0.7157532, 27.8635,102.7694,180.8089,195.8684,709.345798
84.19141274,24934.247021,0.7157646, 27.8646,102.6259,181.0415,195.1263,709.061272
84.64367947,24934.246938,0.7157794, 27.8661,102.4825,181.2742,194.2149,708.690419
