Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg),hp(km)
0.00000000,42179.878044,0.0001082,  3.9148, 73.1847,244.4206,115.5021,35797.177177
2.99349720,42179.641460,0.0001263,  3.9224, 73.2563,263.3568, 96.5625,35796.178375
6.98457570,42179.318241,0.0001433,  3.9285, 73.1988,283.8909, 76.1010,35795.138209
9.97774740,42179.070231,0.0001562,  3.9382, 73.1320,288.9392, 71.0992,35794.348746
10.97548799,42178.986530,0.0001615,  3.9421, 73.1246,289.8107, 70.2374,35794.039749
10.97548800,42178.986530,0.0001615,  3.9421, 73.1246,289.8107, 70.2374,35794.039749
10.97549769,42178.986529,0.0001615,  3.9421, 73.1246,289.8107, 70.2409,35794.039746
13.96860375,42178.732430,0.0001753,  3.9529, 73.1575,292.0229, 67.9663,35793.204074
14.96623031,42178.646749,0.0001775,  3.9556, 73.1805,292.3461, 67.5843,35793.024802
18.95749758,42178.299106,0.0001812,  3.9608, 73.2317,287.8661, 72.1489,35792.522342
19.95520622,42178.211011,0.0001852,  3.9618, 73.2191,285.9782, 74.0464,35792.263378
21.95053833,42178.033433,0.0001983,  3.9653, 73.1667,284.0011, 76.0436,35791.534776
23.94618807,42177.854014,0.0002114,  3.9723, 73.1132,284.9699, 75.2177,35790.800999
26.93940944,42177.581624,0.0002286,  3.9856, 73.1270,288.0051, 72.2218,35789.803442
28.93499185,42177.397880,0.0002492,  3.9912, 73.1869,291.1598, 69.0819,35788.753229
32.92585224,42177.025365,0.0002924,  3.9943, 73.1979,301.8349, 58.4434,35786.558612
33.92349536,42176.931229,0.0002988,  3.9955, 73.1727,303.9598, 56.3338,35786.195487
34.92112178,42176.836701,0.0003039,  3.9973, 73.1446,305.5829, 54.7249,35785.882712
35.91875031,42176.741789,0.0003086,  3.9998, 73.1184,306.7622, 53.5606,35785.589092
36.91639008,42176.646497,0.0003134,  4.0026, 73.0979,307.6198, 52.7182,35785.291797
39.90944776,42176.358402,0.0003285,  4.0122, 73.0886,309.5172, 50.8728,35784.369673
39.90959598,42176.358388,0.0003285,  4.0122, 73.0886,309.5173, 50.9262,35784.369631
40.90733257,42176.261632,0.0003323,  4.0149, 73.1023,310.1336, 50.3307,35784.111433
44.89819310,42175.871114,0.0003319,  4.0202, 73.1672,311.0275, 49.4851,35783.738446
49.88613506,42175.375422,0.0003410,  4.0247, 73.0583,308.5399, 52.0174,35782.860485
50.88366022,42175.275340,0.0003465,  4.0277, 73.0271,308.9171, 51.6412,35782.528353
52.87889167,42175.074232,0.0003565,  4.0353, 72.9988,310.2047, 50.3920,35781.903695
56.86952991,42174.668442,0.0003938,  4.0454, 73.0634,313.1170, 47.5086,35779.925516
56.86965359,42174.668429,0.0003938,  4.0454, 73.0634,313.1171, 47.5531,35779.925429
57.86726489,42174.566262,0.0004081,  4.0458, 73.0713,314.4926, 46.1769,35779.218723
57.86730963,42174.566257,0.0004081,  4.0458, 73.0713,314.4927, 46.1930,35779.218691
57.86761038,42174.566226,0.0004081,  4.0458, 73.0713,314.4932, 46.3011,35779.218478
61.85747284,42174.154859,0.0004497,  4.0477, 72.9784,320.8457, 39.8755,35777.054437
62.85490763,42174.051350,0.0004551,  4.0495, 72.9418,321.9402, 38.7702,35776.723908
65.84749876,42173.739321,0.0004688,  4.0577, 72.8679,324.0486, 36.7084,35775.832447
65.84756242,42173.739314,0.0004688,  4.0577, 72.8679,324.0486, 36.7313,35775.832429
67.84269962,42173.530102,0.0004768,  4.0632, 72.8619,325.2225, 35.5799,35775.286390
68.84034813,42173.425139,0.0004791,  4.0654, 72.8688,325.8394, 34.9945,35775.083273
69.83796305,42173.319954,0.0004796,  4.0671, 72.8783,326.4304, 34.4211,35774.957570
70.83552670,42173.214543,0.0004781,  4.0681, 72.8865,326.9213, 33.9312,35774.918395
71.83308945,42173.108914,0.0004747,  4.0686, 72.8889,327.2302, 33.6292,35774.953555
74.82557441,42172.790736,0.0004646,  4.0691, 72.8309,326.8643, 34.0144,35775.060579
75.82300931,42172.684260,0.0004651,  4.0701, 72.7894,326.6311, 34.2575,35774.936529
76.82043450,42172.577579,0.0004678,  4.0720, 72.7436,326.6085, 34.2931,35774.716354
79.81277407,42172.256354,0.0004804,  4.0823, 72.6443,327.9028, 33.0346,35773.863784
80.81031649,42172.148884,0.0004849,  4.0861, 72.6371,328.4171, 32.5441,35773.562571
82.80538723,42171.933409,0.0004996,  4.0918, 72.6512,329.2255, 31.7519,35772.727998
83.80286814,42171.825412,0.0005111,  4.0933, 72.6599,329.7123, 31.2528,35772.135060
87.79272009,42171.391753,0.0005637,  4.0951, 72.5905,333.7121, 27.2930,35769.484897
90.78485059,42171.064824,0.0005832,  4.1005, 72.4581,336.7198, 24.3225,35768.337396
91.78220679,42170.955555,0.0005871,  4.1035, 72.4211,337.4125, 23.6318,35768.062453
92.77974913,42170.846128,0.0005907,  4.1067, 72.3927,338.0116, 23.0951,35767.798850
96.76955825,42170.407192,0.0005996,  4.1181, 72.3602,340.4326, 20.7253,35766.986844
96.76955857,42170.407191,0.0005996,  4.1181, 72.3602,340.4326, 20.7254,35766.986844
99.76188270,42170.076701,0.0005887,  4.1215, 72.3479,342.0664, 19.1152,35767.115773
101.75661261,42169.855779,0.0005769,  4.1227, 72.2939,342.3938, 18.7991,35767.392412
103.75123516,42169.634416,0.0005725,  4.1259, 72.1987,342.4063, 18.8068,35767.358209
103.75123979,42169.634415,0.0005725,  4.1259, 72.1987,342.4063, 18.8085,35767.358209
104.74853817,42169.523566,0.0005740,  4.1289, 72.1474,342.5927, 18.6346,35767.184394
105.74585933,42169.412616,0.0005768,  4.1329, 72.1033,342.9693, 18.2736,35766.955648
106.74316411,42169.301573,0.0005799,  4.1374, 72.0722,343.4601, 17.7815,35766.713723
109.73533267,42168.967943,0.0005936,  4.1492, 72.0576,344.5737, 16.6841,35765.800816
110.73274873,42168.856555,0.0006028,  4.1516, 72.0628,344.8235, 16.4408,35765.303481
112.72753467,42168.633548,0.0006279,  4.1540, 72.0511,345.7172, 15.5681,35764.022917
113.72488178,42168.521927,0.0006410,  4.1548, 72.0279,346.4531, 14.8455,35763.354927
114.72218442,42168.410255,0.0006527,  4.1558, 71.9933,347.3290, 13.9800,35762.751662
120.70581585,42167.738814,0.0006817,  4.1734, 71.7628,351.7974,  9.5740,35760.856843
121.70309928,42167.626721,0.0006837,  4.1772, 71.7491,352.3646,  9.0028,35760.660687
123.69778148,42167.402404,0.0006850,  4.1836, 71.7419,353.6311,  7.7531,35760.382163
126.68978474,42167.065612,0.0006735,  4.1894, 71.7352,355.6506,  5.7540,35760.532793
127.68688408,42166.953291,0.0006661,  4.1905, 71.7200,356.1731,  5.1682,35760.732403
128.68416278,42166.840915,0.0006582,  4.1917, 71.6942,356.5476,  4.8070,35760.950166
130.67862145,42166.616108,0.0006466,  4.1954, 71.6119,356.9389,  4.4419,35761.214329
132.67313048,42166.391198,0.0006449,  4.2028, 71.5181,357.4287,  4.0163,35761.061156
133.67035032,42166.278717,0.0006464,  4.2078, 71.4842,357.8534,  3.6013,35760.888834
134.66759760,42166.166223,0.0006481,  4.2130, 71.4658,358.3112,  3.1493,35760.705399
136.66218347,42165.941224,0.0006537,  4.2223, 71.4701,358.8984,  2.5688,35760.242150
138.65680682,42165.716226,0.0006691,  4.2277, 71.4872,359.1231,  2.3543,35759.366296
141.64858945,42165.378742,0.0007039,  4.2320, 71.4430,  0.4028,  1.1136,35757.563110
144.64020048,42165.041339,0.0007241,  4.2393, 71.3296,  2.6024,358.9778,35756.374210
145.63743112,42164.928880,0.0007267,  4.2429, 71.2944,  3.2616,358.3513,35756.151062
148.62906468,42164.591759,0.0007302,  4.2554, 71.2378,  4.9451,356.7065,35755.667298
148.62908110,42164.591757,0.0007302,  4.2554, 71.2378,  4.9451,356.7124,35755.667296
149.62632244,42164.479425,0.0007305,  4.2593, 71.2364,  5.5298,356.1368,35755.541832
153.61521832,42164.030539,0.0007178,  4.2699, 71.2576,  8.4030,353.2574,35755.628392
157.60383267,42163.582372,0.0006845,  4.2764, 71.1828, 10.5109,351.1545,35756.586571
157.60389254,42163.582366,0.0006845,  4.2764, 71.1828, 10.5109,351.1761,35756.586581
160.59533632,42163.246806,0.0006754,  4.2879, 71.0753, 11.4570,350.2974,35756.636054
162.58960920,42163.023425,0.0006754,  4.2987, 71.0563, 12.2992,349.4482,35756.410984
164.58402098,42162.800314,0.0006787,  4.3074, 71.0881, 12.6031,349.1404,35756.049931
166.57840995,42162.577505,0.0006930,  4.3120, 71.1164, 12.5185,349.2190,35755.225542
168.57268969,42162.355022,0.0007137,  4.3147, 71.0999, 12.9953,348.7465,35754.129117
169.56978432,42162.243907,0.0007225,  4.3163, 71.0758, 13.5109,348.2354,35753.648460
171.56395432,42162.021976,0.0007327,  4.3214, 71.0151, 14.7760,346.9914,35752.994477
173.55811766,42161.800440,0.0007351,  4.3286, 70.9659, 15.9689,345.8141,35752.674115
176.54928641,42161.468956,0.0007335,  4.3407, 70.9531, 17.5864,344.1440,35752.406937
177.54676558,42161.358647,0.0007322,  4.3441, 70.9640, 18.2173,343.6355,35752.354679
183.53017409,42160.699589,0.0006923,  4.3547, 70.9951, 22.8863,339.2242,35753.377838
184.52695440,42160.590228,0.0006827,  4.3562, 70.9736, 23.4254,338.5949,35753.670984
186.52091096,42160.371902,0.0006690,  4.3614, 70.9152, 24.2108,337.7927,35754.030337
188.51492312,42160.154165,0.0006635,  4.3700, 70.8715, 25.0093,336.9906,35754.045041
189.51199066,42160.045515,0.0006619,  4.3750, 70.8686, 25.4450,336.5589,35754.003167
191.50620346,42159.828725,0.0006594,  4.3837, 70.9033, 25.8998,336.1018,35753.892761
192.50333449,42159.720575,0.0006606,  4.3866, 70.9294, 25.7832,336.2182,35753.733902
194.49762692,42159.504767,0.0006724,  4.3895, 70.9597, 25.3655,336.6702,35753.022234
195.49468345,42159.397131,0.0006811,  4.3904, 70.9557, 25.3879,336.6536,35752.547154
196.49175837,42159.289660,0.0006893,  4.3914, 70.9398, 25.6487,336.4190,35752.096242
197.48877098,42159.182382,0.0006954,  4.3930, 70.9161, 26.0991,335.9822,35751.729642
199.48273272,42158.968402,0.0007003,  4.3979, 70.8646, 27.2363,334.8601,35751.310384
201.47673358,42158.755214,0.0006984,  4.4047, 70.8333, 28.3253,333.7881,35751.175474
208.45611771,42158.015740,0.0006722,  4.4214, 70.9064, 33.4887,328.6768,35751.544201
210.45019029,42157.806477,0.0006522,  4.4225, 70.9004, 35.3648,326.8371,35752.174478
211.44715715,42157.702206,0.0006415,  4.4233, 70.8834, 36.1286,326.0825,35752.520940
211.44776105,42157.702142,0.0006415,  4.4233, 70.8834, 36.1290,326.3002,35752.521141
212.44398769,42157.598183,0.0006318,  4.4246, 70.8591, 36.7424,325.4376,35752.829220
215.43472686,42157.287610,0.0006138,  4.4333, 70.7842, 38.1077,324.0814,35753.274943
217.42865868,42157.081852,0.0006075,  4.4416, 70.7799, 38.9768,323.2188,35753.337292
219.42268280,42156.877170,0.0006015,  4.4481, 70.8204, 39.1849,323.0088,35753.385533
222.41364232,42156.572223,0.0006091,  4.4510, 70.8589, 38.0852,324.1034,35752.760813
227.39803625,42156.069830,0.0006251,  4.4580, 70.7404, 39.6303,322.5707,35751.584729
230.38873944,42155.772133,0.0006168,  4.4671, 70.7113, 41.2258,320.9872,35751.635722
231.38564433,42155.673557,0.0006137,  4.4698, 70.7171, 41.8313,320.3739,35751.665723
232.38258872,42155.575306,0.0006105,  4.4720, 70.7280, 42.5546,319.6529,35751.704684
240.35772881,42154.802011,0.0005440,  4.4778, 70.6694, 50.6779,311.5740,35753.734897
241.35451643,42154.706979,0.0005362,  4.4800, 70.6363, 51.2438,311.0078,35753.970723
243.34813656,42154.518081,0.0005254,  4.4865, 70.5891, 52.2369,310.0165,35754.235426
244.34498323,42154.424217,0.0005209,  4.4902, 70.5820, 52.7045,309.5485,35754.330403
249.32938796,42153.960944,0.0005048,  4.4994, 70.6266, 51.6070,310.6334,35754.544954
256.30683555,42153.330158,0.0005090,  4.5100, 70.4292, 52.7832,309.4914,35753.738148
258.30033978,42153.154001,0.0005013,  4.5157, 70.4114, 53.9245,308.3169,35753.886632
261.29089429,42152.893309,0.0004895,  4.5211, 70.4199, 56.6679,305.6019,35754.125072
267.27142211,42152.385187,0.0004359,  4.5243, 70.3021, 64.9831,297.2879,35755.875996
268.26787010,42152.302297,0.0004266,  4.5264, 70.2603, 65.8187,296.3686,35756.187075
271.25798369,42152.056728,0.0004070,  4.5367, 70.1730, 67.5838,294.6014,35756.765187
272.25474289,42151.975939,0.0004010,  4.5404, 70.1659, 68.0187,294.1656,35756.937276
274.24830480,42151.816003,0.0003872,  4.5458, 70.1743, 67.9975,294.1795,35757.358437
276.24185485,42151.658288,0.0003770,  4.5480, 70.1746, 66.2786,295.8957,35757.632559
278.23532438,42151.502815,0.0003764,  4.5487, 70.1312, 64.2514,297.9378,35757.502063
280.22864260,42151.349636,0.0003786,  4.5512, 70.0499, 63.7124,298.4809,35757.255948
280.22865215,42151.349635,0.0003786,  4.5512, 70.0499, 63.7124,298.4843,35757.255947
285.21204027,42150.977082,0.0003623,  4.5666, 69.8987, 66.0283,296.1888,35757.570528
288.20224038,42150.760917,0.0003508,  4.5740, 69.8861, 68.8480,293.3745,35757.840065
292.18904759,42150.481522,0.0003261,  4.5778, 69.8328, 76.4439,285.7827,35758.601085
297.17249782,42150.146899,0.0002804,  4.5900, 69.6296, 83.6937,278.6756,35760.193610
298.16864226,42150.082020,0.0002738,  4.5945, 69.6038, 84.3893,277.8006,35760.408241
302.15534157,42149.829232,0.0002409,  4.6085, 69.5936, 84.2293,277.9207,35761.541731
302.15534285,42149.829232,0.0002409,  4.6085, 69.5936, 84.2293,277.9212,35761.541732
304.14838371,42149.707018,0.0002271,  4.6111, 69.5767, 80.3920,281.6398,35762.000134
306.14154403,42149.587602,0.0002230,  4.6134, 69.5169, 76.4917,285.5108,35762.055320
306.14180208,42149.587586,0.0002230,  4.6134, 69.5169, 76.4914,285.6044,35762.055311
306.14180336,42149.587586,0.0002230,  4.6134, 69.5169, 76.4914,285.6049,35762.055311
307.13836642,42149.528945,0.0002224,  4.6154, 69.4755, 75.4444,286.6446,35762.021848
310.12808803,42149.357385,0.0002145,  4.6253, 69.3580, 75.3567,286.7245,35762.181821
312.12130866,42149.246701,0.0002051,  4.6334, 69.3163, 76.1289,285.9425,35762.467081
316.10754157,42149.034378,0.0001900,  4.6456, 69.3032, 80.7666,281.1454,35762.891789
316.10776648,42149.034366,0.0001900,  4.6456, 69.3032, 80.7671,281.2262,35762.891811
320.09477447,42148.834192,0.0001686,  4.6515, 69.2443, 93.5152,268.6483,35763.593956
324.08093977,42148.646460,0.0001358,  4.6638, 69.0929,104.9320,257.2020,35764.785940
329.06395225,42148.429677,0.0000916,  4.6863, 69.0707,108.9393,253.1173,35766.433615
332.05382715,42148.309265,0.0000618,  4.6917, 69.0569, 89.4279,272.6072,35767.567857
335.04346362,42148.196183,0.0000581,  4.6983, 68.9641, 66.6041,295.4096,35767.612002
336.03997729,42148.160139,0.0000567,  4.7018, 68.9306, 62.9039,299.0962,35767.634160
337.03652450,42148.124929,0.0000541,  4.7058, 68.9024, 59.7973,302.1971,35767.710124
339.02968483,42148.057026,0.0000471,  4.7146, 68.8705, 52.8425,309.1422,35767.937254
341.02292850,42147.992500,0.0000409,  4.7226, 68.8702, 46.0972,315.8777,35768.135482
345.00946494,42147.873630,0.0000217,  4.7323, 68.8905, 54.3905,307.5612,35768.825795
347.00262604,42147.819296,0.0000066,  4.7353, 68.8702,109.4852,252.4466,35769.407287
348.99570848,42147.768377,0.0000176,  4.7393, 68.8207,218.9640,142.9505,35768.890346
349.99219156,42147.744204,0.0000262,  4.7424, 68.7898,231.4714,130.4206,35768.502906
349.99220028,42147.744204,0.0000262,  4.7424, 68.7898,231.4715,130.4236,35768.502902
356.96840445,42147.599219,0.0000831,  4.7722, 68.7798,277.5511, 84.2865,35765.961588
359.95817321,42147.550064,0.0001152,  4.7767, 68.7731,298.0363, 63.7637,35764.558932
361.95127617,42147.521624,0.0001290,  4.7809, 68.7246,305.5502, 56.2448,35763.949698
364.94086864,42147.485524,0.0001442,  4.7915, 68.6624,308.6480, 53.1131,35763.272491
372.91380607,42147.427969,0.0001629,  4.8129, 68.7184,305.0035, 56.6985,35762.427640
375.90349194,42147.420818,0.0001725,  4.8165, 68.6824,298.6562, 63.0172,35762.016963
379.88967097,42147.423486,0.0002007,  4.8294, 68.6033,297.0798, 64.5662,35760.831425
386.86597711,42147.461576,0.0002842,  4.8475, 68.6792,307.3470, 54.2019,35757.346252
388.85903375,42147.480153,0.0003026,  4.8499, 68.6387,311.8178, 49.7007,35756.590428
390.85208714,42147.502144,0.0003140,  4.8549, 68.5916,314.3219, 47.1746,35756.130860
393.84181064,42147.541549,0.0003292,  4.8649, 68.5674,316.0395, 45.4322,35755.530305
395.83506288,42147.572083,0.0003368,  4.8704, 68.5856,316.9711, 44.4858,35755.243805
399.82158353,42147.643264,0.0003371,  4.8751, 68.6260,317.3050, 44.1158,35755.299143
401.81472646,42147.683838,0.0003371,  4.8757, 68.6110,316.1364, 45.2558,35755.341144
406.79740725,42147.799668,0.0003612,  4.8853, 68.5012,315.0191, 46.3101,35754.440308
413.77374461,42147.995913,0.0004429,  4.9005, 68.5455,319.8319, 41.4011,35751.192593
417.75991656,42148.125310,0.0004823,  4.9050, 68.4404,325.4757, 35.7107,35749.662796
425.73266222,42148.421106,0.0005045,  4.9225, 68.4044,329.9138, 31.1474,35749.020356
428.72255133,42148.544423,0.0004979,  4.9228, 68.3778,330.0696, 30.9840,35749.424178
430.71570075,42148.630223,0.0004988,  4.9238, 68.3238,329.7112, 31.3314,35749.471758
433.70532438,42148.764376,0.0005113,  4.9303, 68.2303,329.9945, 31.0067,35749.079206
435.69857458,42148.857373,0.0005221,  4.9370, 68.1996,330.6808, 30.3203,35748.716771
