Time(day),a(km),e,i(deg),n(deg),w(deg),f(deg),hp(km)
0.00000000,7891.037036,0.1618906, 70.4276,207.3109,142.3670,230.0013,235.417410
7.42102062,7886.310918,0.1614557, 70.3830,194.8353,134.3004,225.3257,234.886267
14.83649061,7882.352804,0.1611146, 70.3406,182.3451,126.2286,236.3966,234.255614
22.24666961,7878.861801,0.1608887, 70.2946,169.8425,118.1770,249.8292,233.107082
31.17984386,7873.226172,0.1605795, 70.2427,154.7419,108.5127,269.0288,230.812547
35.36231089,7870.033830,0.1604715, 70.2180,147.6599,104.0427,281.1520,228.982651
39.22197539,7866.278537,0.1602837, 70.1977,141.1217, 99.9582,294.2284,227.307610
46.13449446,7855.850370,0.1592935, 70.1602,129.3920, 92.6410,321.1517,226.329116
52.24030995,7846.252424,0.1580957, 70.1329,119.0114, 85.8847,348.2528,227.658387
58.66449101,7842.229669,0.1577350, 70.1146,108.0713, 78.5081, 19.9108,227.100449
66.20902246,7848.294668,0.1586886, 70.1143, 95.2123, 70.2132, 56.7384,224.725072
77.51756295,7852.442976,0.1583622, 70.1309, 75.9269, 58.3172,105.3892,230.777805
82.00554290,7849.585914,0.1577244, 70.1409, 68.2636, 53.4372,123.3792,233.380015
87.05160782,7845.236511,0.1571998, 70.1566, 59.6400, 47.8449,143.6425,233.832204
88.97319245,7843.299605,0.1570669, 70.1613, 56.3532, 45.7098,151.3611,233.241969
93.05509548,7838.484102,0.1568888, 70.1752, 49.3651, 41.1731,168.2960,230.578969
96.97485552,7833.242947,0.1568297, 70.1894, 42.6459, 36.8671,185.2181,226.622892
98.65401398,7830.978150,0.1567811, 70.1972, 39.7667, 35.0529,192.4494,225.093694
106.64476465,7817.950000,0.1561019, 70.2307, 26.0293, 26.5972,233.6621,219.417909
110.63632206,7812.141352,0.1549312, 70.2546, 19.1462, 22.2897,261.4458,223.661608
121.08189596,7814.506372,0.1539398, 70.3325,  1.1047, 10.4503, 15.2403,233.407504
135.48807394,7801.107130,0.1523227, 70.4140,336.1008,354.2642,163.2283,234.686582
151.29741223,7779.440133,0.1500790, 70.4762,308.5832,336.5277,318.3650,233.774753
154.71015653,7794.509816,0.1514591, 70.5060,302.6241,332.4197,  9.0904,235.824989
156.69391480,7795.042910,0.1513022, 70.5147,299.1693,330.4264, 38.2265,237.500516
