Time(day),a(km),e,i(deg),n(deg),w(deg),f(deg),hp(km)
0.00000000,26698.354185,0.7411754, 65.4699,273.5819,323.7043,  3.8382,532.055279
3.50261265,26702.549637,0.7410393, 65.4537,273.1111,323.6392, 32.1062,536.776542
12.00851767,26696.848170,0.7410331, 65.5079,271.8982,323.4809, 21.3778,535.465314
22.01576790,26689.192674,0.7407192, 65.5132,270.5263,323.2997, 18.0109,541.859020
27.01886478,26682.184642,0.7405606, 65.5571,269.8104,323.2511, 15.5012,544.276009
33.02226353,26680.291478,0.7402300, 65.5295,269.0135,323.1452, 15.2903,552.603067
54.03162796,26680.455871,0.7395985, 65.5608,266.1347,322.8443, 17.8837,569.496202
61.53459134,26686.408634,0.7392577, 65.5141,265.1493,322.7102, 20.9121,580.140332
70.03809001,26689.422358,0.7389407, 65.5026,264.0031,322.5959, 26.2017,589.385890
77.54112066,26691.913023,0.7387519, 65.4754,263.0003,322.4499, 31.4126,595.076303
81.54300137,26690.209027,0.7385428, 65.4831,262.4485,322.4125, 34.6882,600.211344
89.54680712,26682.966410,0.7381256, 65.4340,261.3908,322.2600, 41.8114,609.451248
97.05118004,26669.597133,0.7377050, 65.4162,260.3789,322.1495, 49.5484,617.167914
102.05440330,26660.598680,0.7374940, 65.3850,259.7172,322.0360, 54.7129,620.433091
107.05807833,26650.893296,0.7373449, 65.4065,259.0129,321.9555, 59.9011,621.857956
108.05890210,26649.699902,0.7372801, 65.4069,258.8756,321.9444, 60.6125,623.271446
111.06146872,26646.809361,0.7370430, 65.3813,258.4846,321.8945, 62.6357,628.829786
119.56905147,26636.903308,0.7368713, 65.3879,257.3126,321.7195, 69.1428,630.797845
125.07447415,26631.954695,0.7366431, 65.3717,256.5764,321.6150, 73.2628,635.574090
139.58909991,26622.270435,0.7362531, 65.3930,254.5919,321.3354, 82.4377,643.405828
153.60187744,26617.118215,0.7359880, 65.4492,252.6665,321.0853, 87.2334,649.103968
166.61124246,26613.526846,0.7355568, 65.5097,250.8858,320.8882, 88.7194,659.632154
173.61506991,26611.713359,0.7354362, 65.5644,249.9119,320.7830, 88.7487,662.361776
181.61863390,26611.049560,0.7350690, 65.5638,248.8557,320.6636, 88.6617,671.957073
195.62370837,26609.964085,0.7343712, 65.5892,246.9873,320.4621, 88.6614,690.236631
204.62749363,26609.144470,0.7339023, 65.6125,245.7827,320.3463, 89.8608,702.498374
210.12823568,26611.138099,0.7336670, 65.5852,245.0822,320.2425, 86.8773,709.290194
221.12948276,26620.665125,0.7329652, 65.5618,243.6557,320.0904, 77.3930,730.507803
224.12987692,26623.378233,0.7329011, 65.5568,243.2646,320.0303, 75.4851,732.939376
228.13055147,26628.801253,0.7327408, 65.5672,242.7298,319.9802, 71.8555,738.657507
230.63119283,26632.641548,0.7325829, 65.5556,242.4113,319.9473, 69.5158,743.888612
269.14997093,26679.950733,0.7313885, 65.4243,237.4693,319.1575, 19.6505,788.405318
273.65296658,26662.762318,0.7308749, 65.4065,236.8995,319.0688, 12.4867,797.483070
285.15999669,26601.111852,0.7298867, 65.4169,235.4028,318.8357,354.7323,807.179875
364.17651425,26608.600686,0.7261010, 65.6053,225.2301,317.6147,274.1252,909.935095
370.17752437,26613.484023,0.7256540, 65.5708,224.5062,317.5110,270.9346,923.168782
378.67933780,26619.180065,0.7251458, 65.5781,223.4341,317.3631,266.0080,938.259684
391.68412969,26625.336477,0.7242299, 65.5349,221.8448,317.1175,260.1807,964.336255
397.18691768,26627.182979,0.7238412, 65.4911,221.1993,317.0040,257.9729,975.196872
407.19262951,26628.148409,0.7232270, 65.4826,219.9701,316.8045,255.5834,991.817481
411.19502241,26628.541985,0.7229597, 65.4454,219.5092,316.7109,254.6321,999.044946
415.19748182,26628.103133,0.7228589, 65.4473,219.0157,316.6188,254.0798,1001.606799
415.19757288,26628.080461,0.7228590, 65.4473,219.0157,316.6189,254.2076,1001.598655
418.19945052,26627.630773,0.7226358, 65.4558,218.6399,316.5688,253.8290,1007.415490
420.20074925,26627.420106,0.7224615, 65.4493,218.4006,316.5336,253.6521,1011.999064
428.20563469,26626.140240,0.7222168, 65.4194,217.4504,316.3498,254.2683,1018.159052
465.71950721,26619.424472,0.7203287, 65.4382,212.8813,315.6510,251.7051,1066.554365
470.22005022,26619.012652,0.7202227, 65.4650,212.3129,315.5680,251.1809,1069.260115
473.72055100,26618.741888,0.7199120, 65.4821,211.8743,315.5236,250.7295,1077.456343
549.23657495,26626.724067,0.7141907, 65.4936,202.8594,314.1979,235.3960,1232.030627
556.74074320,26626.025028,0.7133942, 65.4920,201.9898,314.0639,234.9804,1253.038811
561.74381442,26625.394489,0.7131118, 65.4607,201.4413,313.9492,235.0016,1260.376260
567.24721730,nan,nan,     nan,     nan,     nan,     nan,nan
575.25211991,nan,nan,     nan,     nan,     nan,     nan,nan
583.25646866,nan,nan,     nan,     nan,     nan,     nan,nan
591.26011526,nan,nan,     nan,     nan,     nan,     nan,nan
599.26310504,nan,nan,     nan,     nan,     nan,     nan,nan
603.26418017,nan,nan,     nan,     nan,     nan,     nan,nan
616.26674643,nan,nan,     nan,     nan,     nan,     nan,nan
618.26691718,nan,nan,     nan,     nan,     nan,     nan,nan
627.26784204,nan,nan,     nan,     nan,     nan,     nan,nan
632.26813949,nan,nan,     nan,     nan,     nan,     nan,nan
639.76861568,nan,nan,     nan,     nan,     nan,     nan,nan
656.26975720,nan,nan,     nan,     nan,     nan,     nan,nan
673.27255461,nan,nan,     nan,     nan,     nan,     nan,nan
685.27692120,nan,nan,     nan,     nan,     nan,     nan,nan
693.28039859,nan,nan,     nan,     nan,     nan,     nan,nan
1013.38035204,nan,nan,     nan,     nan,     nan,     nan,nan
1026.38772086,nan,nan,     nan,     nan,     nan,     nan,nan
1030.38980117,nan,nan,     nan,     nan,     nan,     nan,nan
1033.39137963,nan,nan,     nan,     nan,     nan,     nan,nan
1056.39930329,nan,nan,     nan,     nan,     nan,     nan,nan
1083.40239599,nan,nan,     nan,     nan,     nan,     nan,nan
1097.40254367,nan,nan,     nan,     nan,     nan,     nan,nan
1114.40355189,nan,nan,     nan,     nan,     nan,     nan,nan
1155.91848131,nan,nan,     nan,     nan,     nan,     nan,nan
1159.92068633,nan,nan,     nan,     nan,     nan,     nan,nan
1172.92790193,nan,nan,     nan,     nan,     nan,     nan,nan
1187.93546708,nan,nan,     nan,     nan,     nan,     nan,nan
1198.93972918,nan,nan,     nan,     nan,     nan,     nan,nan
1206.44184153,nan,nan,     nan,     nan,     nan,     nan,nan
1207.44205472,nan,nan,     nan,     nan,     nan,     nan,nan
1220.44434299,nan,nan,     nan,     nan,     nan,     nan,nan
1235.44545966,nan,nan,     nan,     nan,     nan,     nan,nan
1292.45464749,nan,nan,     nan,     nan,     nan,     nan,nan
1344.48118616,nan,nan,     nan,     nan,     nan,     nan,nan
1344.48118617,nan,nan,     nan,     nan,     nan,     nan,nan
1360.48605652,nan,nan,     nan,     nan,     nan,     nan,nan
1366.48719665,nan,nan,     nan,     nan,     nan,     nan,nan
1372.48815417,nan,nan,     nan,     nan,     nan,     nan,nan
1389.48896455,nan,nan,     nan,     nan,     nan,     nan,nan
1395.48923459,nan,nan,     nan,     nan,     nan,     nan,nan
1526.52930858,nan,nan,     nan,     nan,     nan,     nan,nan
1539.53162038,nan,nan,     nan,     nan,     nan,     nan,nan
1546.53208651,nan,nan,     nan,     nan,     nan,     nan,nan
1561.53250861,nan,nan,     nan,     nan,     nan,     nan,nan
1658.57124929,nan,nan,     nan,     nan,     nan,     nan,nan
1660.57180210,nan,nan,     nan,     nan,     nan,     nan,nan
1674.57441623,nan,nan,     nan,     nan,     nan,     nan,nan
1681.57506319,nan,nan,     nan,     nan,     nan,     nan,nan
1687.07533624,nan,nan,     nan,     nan,     nan,     nan,nan
1691.57558682,nan,nan,     nan,     nan,     nan,     nan,nan
1698.57579240,nan,nan,     nan,     nan,     nan,     nan,nan
1702.57594843,nan,nan,     nan,     nan,     nan,     nan,nan
1710.57626910,nan,nan,     nan,     nan,     nan,     nan,nan
1713.57644422,nan,nan,     nan,     nan,     nan,     nan,nan
1715.07656324,nan,nan,     nan,     nan,     nan,     nan,nan
1717.57684862,nan,nan,     nan,     nan,     nan,     nan,nan
1720.07711107,nan,nan,     nan,     nan,     nan,     nan,nan
1726.07800520,nan,nan,     nan,     nan,     nan,     nan,nan
1730.07879771,nan,nan,     nan,     nan,     nan,     nan,nan
1731.57914495,nan,nan,     nan,     nan,     nan,     nan,nan
1736.58049149,nan,nan,     nan,     nan,     nan,     nan,nan
1740.08158471,nan,nan,     nan,     nan,     nan,     nan,nan
1747.08423439,nan,nan,     nan,     nan,     nan,     nan,nan
1755.08792792,nan,nan,     nan,     nan,     nan,     nan,nan
1761.09111893,nan,nan,     nan,     nan,     nan,     nan,nan
1765.09328180,nan,nan,     nan,     nan,     nan,     nan,nan
1790.60753134,nan,nan,     nan,     nan,     nan,     nan,nan
1793.60887454,nan,nan,     nan,     nan,     nan,     nan,nan
1810.61512544,nan,nan,     nan,     nan,     nan,     nan,nan
1817.11676753,nan,nan,     nan,     nan,     nan,     nan,nan
1819.61710204,nan,nan,     nan,     nan,     nan,     nan,nan
1821.61744209,nan,nan,     nan,     nan,     nan,     nan,nan
1826.61806766,nan,nan,     nan,     nan,     nan,     nan,nan
1832.11853102,nan,nan,     nan,     nan,     nan,     nan,nan
