Time(day),a(km),e,i(deg),n(deg),w(deg),m(deg),hp(km)
0.00000000,24934.269580,0.7199608, 27.6002,129.7992,136.6208,310.0056,604.439024
3.17169545,24934.020377,0.7199922, 27.6143,128.7402,138.3370,307.9723,603.584138
4.07766301,24933.872669,0.7200059, 27.6213,128.4339,138.8354,307.2015,603.201800
9.06140533,24933.986211,0.7196725, 27.6608,126.7603,141.5696,303.6768,611.546723
13.13842183,24933.963056,0.7192993, 27.6683,125.4333,143.7340,300.3708,620.845936
14.95186758,24933.642365,0.7192946, 27.6753,124.8359,144.7026,300.0447,620.873551
15.85536357,24933.509158,0.7193049, 27.6810,124.5342,145.1910,297.3179,620.578950
16.76125003,24933.481766,0.7193106, 27.6884,124.2309,145.6829,296.4857,620.428463
19.93158379,24933.473586,0.7191941, 27.7160,123.1725,147.4121,293.3286,623.331349
20.83732798,24933.424435,0.7191074, 27.7227,122.8745,147.9016,292.3788,625.478465
21.74458819,24933.493602,0.7190051, 27.7281,122.5785,148.3884,292.6357,628.048962
23.10167350,24933.539746,0.7188414, 27.7321,122.1375,149.1126,290.0055,632.144177
24.00731913,24933.539648,0.7187379, 27.7335,121.8461,149.5927,288.9872,634.724408
26.72425134,24933.331278,0.7185083, 27.7354,120.9731,151.0194,285.9485,640.389713
28.98836679,24933.173541,0.7184501, 27.7384,120.2394,152.2135,283.4231,641.796825
30.79944577,24932.930927,0.7184550, 27.7474,119.6477,153.1763,281.2322,641.606154
31.70514284,24932.967295,0.7184539, 27.7537,119.3506,153.6613,280.2579,641.644509
33.06320758,24933.145123,0.7184294, 27.7634,118.9037,154.3920,278.4047,642.306767
33.96881927,24933.178204,0.7183840, 27.7701,118.6076,154.8810,277.3489,643.446897
35.77916443,24933.221168,0.7182068, 27.7810,118.0205,155.8507,274.5417,647.878013
38.94810883,24933.113545,0.7177851, 27.7814,117.0075,157.5174,270.3373,658.361936
40.75872685,24932.796292,0.7176579, 27.7798,116.4283,158.4585,267.8025,661.442940
