Time(day),a(km),e,i(deg),n(deg),w(deg),f(deg),hp(km)
0.00000000,42179.878044,0.0001082,  3.9148, 73.1847,244.4206,115.5021,35797.177177
2.99349720,42178.199491,0.0001694,  3.9227, 73.2615,243.3996,116.5511,35792.918937
6.98457570,42178.730164,0.0002042,  3.9290, 73.2024,273.5361, 86.5194,35791.981504
9.97774740,42179.224690,0.0002060,  3.9387, 73.1320,287.4544, 72.6727,35792.401532
10.97548799,42179.204098,0.0002030,  3.9426, 73.1241,289.7566, 70.3877,35792.505556
10.97548800,42179.204098,0.0002030,  3.9426, 73.1241,289.7566, 70.3877,35792.505556
10.97549769,42179.204146,0.0002030,  3.9426, 73.1241,289.7570, 70.3909,35792.505624
13.96860375,42178.479823,0.0001858,  3.9535, 73.1584,288.5536, 71.5518,35792.506346
14.96623031,42178.064300,0.0001808,  3.9562, 73.1825,284.9004, 75.1521,35792.304793
18.95749758,42176.681790,0.0002131,  3.9616, 73.2349,267.0745, 93.0914,35789.557077
19.95520622,42176.670825,0.0002326,  3.9626, 73.2210,267.0303, 93.1547,35788.723719
21.95053833,42177.209724,0.0002652,  3.9664, 73.1652,273.4520, 86.7730,35787.888010
23.94618807,42178.017323,0.0002720,  3.9733, 73.1091,283.7265, 76.6592,35788.411714
26.93940944,42177.467826,0.0002325,  3.9864, 73.1229,286.9714, 73.4743,35789.527069
28.93499185,42176.028923,0.0002380,  3.9921, 73.1857,278.0316, 82.4418,35787.857015
32.92585224,42175.471760,0.0003236,  3.9956, 73.1995,286.5496, 73.9899,35783.686928
33.92349536,42175.736016,0.0003376,  3.9968, 73.1730,291.0174, 69.5457,35783.363646
34.92112178,42175.998335,0.0003472,  3.9987, 73.1435,295.0434, 65.5423,35783.219888
35.91875031,42176.204825,0.0003530,  4.0011, 73.1159,298.4489, 62.1600,35783.180946
36.91639008,42176.323446,0.0003555,  4.0040, 73.0944,301.1950, 59.4370,35783.193774
