Time(day),a(km),e,i(deg),n(deg),w(deg),f(deg),hp(km)
0.00000000,24934.269580,0.7199608, 27.6002,129.7992,136.6208,310.0056,604.439024
3.17169545,24934.198953,0.7199947, 27.6143,128.7402,138.3370,221.7568,603.571719
4.07766301,24934.084725,0.7200089, 27.6212,128.4338,138.8354,221.2651,603.186847
9.06140533,24934.275258,0.7196767, 27.6607,126.7602,141.5697,219.1558,611.523793
13.13842183,24934.235740,0.7193036, 27.6683,125.4333,143.7343,217.3293,620.815926
14.95186758,24934.003400,0.7193000, 27.6752,124.8359,144.7028,217.1470,620.839518
15.85536357,24933.907042,0.7193108, 27.6810,124.5342,145.1912,215.7068,620.542814
16.76125003,24933.902201,0.7193169, 27.6883,124.2309,145.6831,215.2759,620.390319
19.93158379,24934.013915,0.7192021, 27.7159,123.1724,147.4124,213.7271,623.284053
20.83732798,24934.073554,0.7191168, 27.7226,122.8744,147.9018,213.2760,625.426154
21.74458819,24934.185630,0.7190151, 27.7280,122.5784,148.3885,213.4069,627.993892
23.10167350,24934.357122,0.7188531, 27.7320,122.1375,149.1127,212.1975,632.083189
24.00731913,24934.350408,0.7187496, 27.7334,121.8460,149.5929,211.7431,634.661692
26.72425134,24934.165428,0.7185206, 27.7353,120.9731,151.0196,210.3990,640.319072
28.98836679,24934.180146,0.7184648, 27.7382,120.2394,152.2137,209.3223,641.713412
30.79944577,24934.070696,0.7184717, 27.7472,119.6477,153.1765,208.4037,641.512146
31.70514284,24934.118644,0.7184708, 27.7535,119.3505,153.6615,208.0026,641.546260
33.06320758,24934.348696,0.7184470, 27.7632,118.9037,154.3923,207.2583,642.204935
33.96881927,24934.457827,0.7184027, 27.7698,118.6075,154.8812,206.8404,643.341057
35.77916443,24934.554743,0.7182264, 27.7807,118.0204,155.8510,205.7655,647.763598
38.94810883,24934.733215,0.7178086, 27.7811,117.0074,157.5176,204.2263,658.231882
40.75872685,24934.468578,0.7176825, 27.7795,116.4282,158.4588,203.3218,661.301487
43.02148510,24934.551898,0.7176732, 27.7857,115.6941,159.6464,202.0709,661.557560
43.02182139,24934.554297,0.7176732, 27.7857,115.6941,159.6464,202.1597,661.557483
44.83224926,24934.567540,0.7176892, 27.7982,115.1042,160.6100,201.2248,661.162706
46.64254288,24934.767702,0.7176314, 27.8121,114.5175,161.5747,200.2887,662.660720
48.90513478,24935.063405,0.7174403, 27.8222,113.7899,162.7766,199.0860,667.507892
49.81016553,24934.987084,0.7173378, 27.8240,113.5016,163.2531,198.6167,670.042256
50.71516069,24934.982763,0.7172294, 27.8240,113.2144,163.7261,198.1446,672.746022
