Time(day),a(km),e,i(deg),n(deg),w(deg),f(deg),hp(km)
0.00000000,24934.269580,0.7199608, 27.6002,129.7992,136.6208,310.0056,604.439024
3.17169545,24934.394196,0.7199974, 27.6143,128.7402,138.3368,221.7389,603.560702
4.07766301,24934.327545,0.7200122, 27.6212,128.4338,138.8352,221.2361,603.173029
9.06140533,24934.785004,0.7196835, 27.6607,126.7602,141.5692,219.0503,611.495936
13.13842183,24934.916678,0.7193128, 27.6682,125.4333,143.7335,217.1384,620.777061
14.95186758,24934.747705,0.7193101, 27.6751,124.8359,144.7020,216.9127,620.796279
15.85536357,24934.675118,0.7193213, 27.6809,124.5342,145.1904,215.4547,620.497212
16.76125003,24934.715578,0.7193279, 27.6882,124.2309,145.6822,215.0049,620.343188
19.93158379,24934.968669,0.7192149, 27.7159,123.1724,147.4114,213.3689,623.231494
20.83732798,24935.064024,0.7191302, 27.7226,122.8744,147.9008,212.8959,625.370360
21.74458819,24935.199407,0.7190289, 27.7279,122.5784,148.3875,212.9910,627.936479
23.10167350,24935.414159,0.7188674, 27.7320,122.1375,149.1115,211.7429,632.022275
24.00731913,24935.441961,0.7187644, 27.7334,121.8460,149.5917,211.2604,634.599140
26.72425134,24935.372435,0.7185372, 27.7352,120.9731,151.0183,209.8538,640.245346
28.98836679,24935.462637,0.7184823, 27.7382,120.2393,152.2123,208.7135,641.637989
30.79944577,24935.387856,0.7184897, 27.7471,119.6476,153.1751,207.7525,641.432617
31.70514284,24935.467579,0.7184893, 27.7534,119.3505,153.6601,207.3286,641.465991
33.06320758,24935.701505,0.7184655, 27.7631,118.9036,154.3908,206.5544,642.125743
33.96881927,24935.825549,0.7184212, 27.7697,118.6075,154.8797,206.1168,643.264015
35.77916443,24935.947994,0.7182456, 27.7807,118.0204,155.8495,205.0100,647.678522
38.94810883,24936.204730,0.7178290, 27.7810,117.0073,157.5159,203.3961,658.138256
40.75872685,24936.024229,0.7177043, 27.7794,116.4281,158.4570,202.4472,661.198333
